Accession	PSMs_Used_CarbonSources	TotInt_126C_CarbonSources	TotInt_127N_CarbonSources	TotInt_127C_CarbonSources	TotInt_128N_CarbonSources	TotInt_128C_CarbonSources	TotInt_129N_CarbonSources	TotInt_129C_CarbonSources	TotInt_130N_CarbonSources	TotInt_130C_CarbonSources
sp|P47176|BCA2_YEAST	39	5017385.29	4921583.823	5510826.183	13135904.81	12658162.67	12560609.81	10792422.42	9562328.523	10177163.65
sp|P47177|2NDP_YEAST	22	960628.4794	872512.8673	1016517.392	975289.1079	932226.8629	910579.3208	2190118.673	1675445.503	1995966.443
sp|P47181|YJ9S_YEAST	24	4859012.288	3776280.507	4577911.889	1368685.912	1351567.245	1260842.405	4374256.733	3721791.287	4137168.596
sp|P47187|COS5_YEAST	1	157600.7813	129562.8359	142909.8594	64002.34375	56227.36328	59164.99219	204251.5781	156752.125	216846.8125
sp|P47190|PMT3_YEAST	33	7463552.556	6294305.403	7181635.539	3857864.429	3499575.648	3602853.024	9385601.694	7983144.499	9780502.99
sp|P47771|ALDH2_YEAST	31	2900811.112	2978497.18	3416410.077	3328646.568	3352049.759	3210336.487	8545006.405	6998788.914	7753885.482
sp|P47818|CCC1_YEAST	30	5398880.363	3833669.129	4381996.919	3702072.528	3106277.595	3519248.286	5667472.075	4813605.925	5990089.479
sp|P47822|MED21_YEAST	11	1642496.923	1495775.715	1822424.442	878545.4656	791489.5963	735894.9919	932733.4761	762444.3452	884667.4404
sp|P47912|LCF4_YEAST	49	13937913.94	13327873.62	16403642.57	14449237	14467046.8	14787522.82	12879628.88	11849269.62	11412271.99
sp|P47976|CTH1_YEAST	2	37080.17188	39919.83789	39005.80469	42122.25195	39702.75879	41217.95606	35723.51172	34228.09766	36883.67773
sp|P47977|CTH2_YEAST	3	389251.7695	337274.2383	402376.6641	165715.4902	152214.3916	146534.8818	482328.6094	356578.2031	471188.3555
sp|P47988|TEA1_YEAST	14	801308.1794	741717.4521	823969.7505	528348.0842	448036.2803	468784.7405	405428.1463	347305.2886	427426.2016
sp|P48015|GCST_YEAST	45	7807012.248	7713962.322	8723366.114	16836089.02	17345567.64	17251158.01	11832596.17	10017378.13	10297895.14
sp|P48016|ATH1_YEAST	26	3234087.511	2694702.379	3047545.016	2182022.898	2290682.427	2204891.949	5789859	4785505.074	5568685.462
sp|P48164|RS7B_YEAST	11	3725881.07	3967296.292	3988351.978	6223944.289	8143895.449	7305818.373	3291505.774	2903776.831	2972456.464
sp|P48231|TCB2_YEAST	49	6467314.12	5829466.801	6303968.072	7926215.966	7443575.724	7881259.25	5687305.36	4844496.436	5149305.712
sp|P48232|SNAPN_YEAST	8	1641756.949	1505781.367	1848937.945	743268.5137	668450.7227	650711.5859	1444096.516	1163344.555	1516323.961
sp|P48234|NOL10_YEAST	31	4614355.757	4170550.839	5033705.859	2987785.401	3095999.189	2865690.069	2981524.135	2452855.324	2922679.432
sp|P48236|YG3L_YEAST	20	1980588.661	1878823.588	2216226.686	1614621.692	1744178.869	1538575.275	2235911.217	1925777.2	2101234.657
sp|P48237|CCM1_YEAST	25	2028417.541	1755917.163	1953758.868	1724978.847	1524719.768	1656591.838	2019108.347	1676240.766	2017695.516
sp|P48239|GTO1_YEAST	17	883666.8765	863812.6147	937242.2363	478246.8911	475570.8776	481647.116	2390729.02	1960805.666	2422054.227
sp|P48240|MTR3_YEAST	10	604014.46	580715.1797	613007.8584	689535.7544	585692.7236	720496.7524	530582.1045	428835.0986	481768.3325
sp|P48353|HLJ1_YEAST	6	327933.0881	338715.7534	335480.8545	272964.7969	303362.4512	289847.4687	351733.9434	325116.957	363833.3672
sp|P48360|ADRO_YEAST	32	5311462.435	4993066.525	5478288.837	7000549.032	6803724.095	7190986.906	4524628.481	3947372.568	4089465.005
sp|P48361|ASK10_YEAST	36	4104850.03	3957494.014	4761463.91	3413252.315	3196835.112	3111478.248	5328565.309	4388321.564	5039581.317
sp|P48362|HGH1_YEAST	38	12780508.73	9591031.125	11667785.66	10118025.1	9835644.74	9515533.429	9866349.369	8271610.548	9478429.955
sp|P48363|PFD3_YEAST	7	220526.8888	211596.2302	267869.7175	598409.582	614919.792	539493.5107	276342.7468	253555.1274	218801.4216
