Accession	126C	127-N	127C	128-N	128C	129-N	129C	130-N	130C
sp|Q07629|YD218_YEAST	9508.8	8749.5	9642.8	4245.2	10060	10827	314070	263030	322970
sp|Q07648|DTD_YEAST	503310	413440	477100	266590	227690	237980	305560	265950	290180
sp|Q07651|FMP45_YEAST	94371	83447	89572	51116	44009	52906	306150	270930	308100
sp|Q07653|HBT1_YEAST	715870	688930	763420	421750	481040	481630	4555400	3666700	4024600
sp|Q07655|WHI4_YEAST	111670	112640	126610	97852	98025	98568	124140	106390	114040
sp|Q07657|SHS1_YEAST	329820	332930	390550	347120	360210	333120	311160	255980	267790
sp|Q07688|YPD1_YEAST	173140	156350	183070	178430	199840	181180	166980	128150	144920
sp|Q07716|AIM6_YEAST	553560	441660	528610	293400	245750	258690	561450	481300	555330
sp|Q07729|GUAD_YEAST	80432	75605	81631	71758	74811	69102	297250	104610	115200
sp|Q07794|RT109_YEAST	39580	30735	37529	25790	17929	21992	32594	25293	31064
sp|Q07799|YL007_YEAST	235880	211500	241290	266620	249190	249570	215780	192660	193520
sp|Q07800|PSR1_YEAST	127930	104500	123490	63735	58397	58415	59447	52074	61001
sp|Q07804|YEH1_YEAST	76270	66744	75033	87979	73352	89629	31948	28649	32001
sp|Q07807|PUF3_YEAST	663940	566950	695940	643980	609390	616600	580410	473360	521390
sp|Q07821|ISA1_YEAST	63171	72664	83669	258420	302610	279100	92706	79534	72527
sp|Q07824|TPO1_YEAST	18811	17599	20375	31884	31357	35093	21769	20490	21185
sp|Q07825|FRA1_YEAST	298680	280020	333580	424560	450940	434840	327870	276200	286030
sp|Q07830|GPI13_YEAST	211780	192760	207830	184210	157400	176480	274640	246540	279410
sp|Q07834|YL032_YEAST	517190	453010	523330	457590	472680	447140	434310	371930	407980
sp|Q07843|IRC19_YEAST	17808	17268	17952	24046	21203	21939	25277	20932	21946
sp|Q07844|RIX7_YEAST	296430	279340	327180	498140	505240	493040	284080	244010	256060
sp|Q07845|GRC3_YEAST	114360	95495	106040	69818	64355	64967	115420	99715	122750
sp|Q07872|ENT4_YEAST	76978	76130	91913	91598	83901	84388	123130	102180	107780
sp|Q07878|VPS13_YEAST	1150300	1156600	1338300	1817700	1789700	1820100	1297700	1126400	1137200
sp|Q07879|ATG10_YEAST	39015	36533	35017	27067	26152	26362	58221	45962	54326
sp|Q07895|YL001_YEAST	90242	80508	88994	54980	50759	51700	82972	69842	79152
sp|Q07896|NOC3_YEAST	269560	237940	282290	279540	272890	261510	332130	266130	309620
sp|Q07897|CMS1_YEAST	126940	112060	129830	68442	62656	62006	93234	80200	89035
sp|Q07904|THI73_YEAST	46799	45402	47929	78226	71983	83800	25703	24001	22403
sp|Q07913|NSE1_YEAST	13268	12759	12887	17889	14954	17230	10674	9780.1	10215
sp|Q07914|TIM14_YEAST	38669	41265	49117	67058	77326	73312	73228	57384	65107
sp|Q07915|RLP24_YEAST	13171	14867	17716	20233	19576	20322	13495	12091	12136
sp|Q07923|LOT6_YEAST	48725	52376	58760	54552	56172	52116	60877	52306	55251
sp|Q07938|MTAP_YEAST	100240	106780	117160	120340	112130	114730	98190	86611	81360
sp|Q07949|PSR2_YEAST	20239	18500	19661	9688.7	9415.1	9326.9	17149	15694	17583
sp|Q07950|YEH2_YEAST	150240	134020	152780	166760	170180	162760	116430	100640	109500
sp|Q07963|UBR2_YEAST	120140	103730	115780	81351	67882	72445	101250	86549	101080
sp|Q07979|RSC58_YEAST	243840	236950	274370	340620	358730	331820	275770	230470	237060
sp|Q07980|MLH2_YEAST	36124	32894	35614	35597	32795	36427	36358	32826	35351
sp|Q07986|YL036_YEAST	20357	18308	20357	13932	11967	13271	18617	18589	20301
sp|Q08001|LAM6_YEAST	200800	178210	199500	193450	170280	186190	243380	216330	263240
sp|Q08004|BUD20_YEAST	23409	28300	30949	75466	76274	76209	54381	47286	44599
sp|Q08023|FMP25_YEAST	360270	296730	335740	221530	207060	212610	489960	398270	452030
sp|Q08032|CDC45_YEAST	158580	139590	154410	98167	98214	94502	134200	120780	139650
sp|Q08045|LCL2_YEAST	138000	117000	144670	98646	89760	88541	149570	133310	145730
sp|Q08058|COQ10_YEAST	74806	60768	74941	84103	74313	75278	61046	53876	58567
sp|Q08096|RCL1_YEAST	115280	104830	116850	249940	209910	237930	156890	119960	136190
sp|Q08108|PLB3_YEAST	6826.4	8587.9	9137.9	3962.9	3518.4	3352	4992.2	3823.5	4560.5
sp|Q08109|HRD1_YEAST	26417	25198	27696	34021	38011	36610	45821	39558	43255
sp|Q08119|ESC8_YEAST	10701	9903.8	10721	7422.1	6375.6	7453.8	8118.1	6734.7	7170
sp|Q08144|TLG2_YEAST	309600	303700	352810	271230	256610	260010	391140	334210	387960
sp|Q08157|YOL19_YEAST	99726	90681	97286	47758	47637	47986	99228	90626	94801
sp|Q08162|RRP44_YEAST	510520	466060	527010	794810	780460	809310	555870	469020	499830
sp|Q08176|MIM1_YEAST	34143	31118	33181	19183	15671	16607	38364	34751	43083
sp|Q08179|MDM38_YEAST	544040	523580	597100	637040	669370	663560	974170	809250	876360
sp|Q08193|GAS5_YEAST	122690	102460	126670	72809	66701	66661	143420	120560	136910
sp|Q08199|SIL1_YEAST	223810	225550	244110	294080	266990	273090	342800	285070	321190
sp|Q08202|OPI10_YEAST	131180	118810	136060	117150	120020	110290	174140	138690	167260
sp|Q08204|SMC5_YEAST	56996	55253	58915	58629	58813	58439	65508	56543	64596
sp|Q08208|NOP12_YEAST	685190	602760	730090	489930	484240	450000	505090	424420	479270
sp|Q08213|NGL1_YEAST	175820	164210	184100	244580	223790	236170	215810	188140	201520
sp|Q08214|NTH2_YEAST	53192	50515	49756	33749	27985	29415	72456	59941	71054
sp|Q08215|PEX15_YEAST	26415	24601	27905	18049	16617	17358	33048	29994	33025
sp|Q08217|PSK2_YEAST	207500	182310	213360	148020	138530	141370	93102	82594	85901
sp|Q08219|RRT8_YEAST	14984	12449	13457	8080.8	7504.4	7466.9	17453	16718	19822
sp|Q08220|GSHB_YEAST	717040	658030	782640	687560	627840	635510	1231600	1047800	1185300
sp|Q08223|AIM39_YEAST	309150	239040	278930	169280	139100	155320	325010	269140	311840
sp|Q08224|THI20_YEAST;sp|Q06490|THI22_YEAST	238440	225920	259540	814380	822370	845660	222110	208470	202670
sp|Q08225|DPP3_YEAST	492920	449960	509170	678350	657940	680540	435040	374890	356480
sp|Q08226|CRT10_YEAST	19856	20735	21850	13505	12803	12352	23357	20483	22725
sp|Q08227|INP54_YEAST	77953	62610	70797	80459	69001	79610	153730	129950	152650
sp|Q08229|NBA1_YEAST	240690	225240	258930	188430	202170	187810	141990	123310	129040
sp|Q08230|SDHF2_YEAST	41918	42906	46747	65964	65244	62447	63031	55194	51529
sp|Q08231|THP1_YEAST	108880	91738	106490	85029	73628	75633	108690	94203	108100
sp|Q08232|YO073_YEAST	62613	52204	58350	41901	37206	38994	55211	51162	57636
sp|Q08234|YO075_YEAST	51408	51555	54865	30995	29355	27980	41916	36282	41396
sp|Q08235|BRX1_YEAST	193630	175870	211170	259590	264800	251780	257890	200980	234600
sp|Q08236|AVO1_YEAST	114840	112330	121680	106820	100400	104040	136770	122280	138790
sp|Q08237|REXO4_YEAST	39590	43563	51209	74997	76897	75028	42703	36779	36141
sp|Q08245|ZEO1_YEAST	895230	866100	1092600	602560	559420	492580	1538700	1181400	1280700
sp|Q08269|ALR1_YEAST;sp|P43553|ALR2_YEAST	93419	88670	94465	105690	98732	108550	161330	138010	158010
sp|Q08271|GAS4_YEAST	294.44	331.76	275.36	88.672	144.67	78.645	2397.4	2248	2583.9
sp|Q08273|RBX1_YEAST	31929	27748	32973	54572	51567	47493	74706	63785	78168
sp|Q08278|MED7_YEAST	14259	13065	15300	39567	37652	42673	16751	15289	13567
sp|Q08280|BSC6_YEAST	140610	116610	135300	86682	79000	87412	103550	92137	102610
sp|Q08281|RTC1_YEAST	247250	229390	259010	182990	180010	172650	265960	222030	261520
sp|Q08282|TYW4_YEAST	55844	52358	55507	66196	60509	65680	82394	70359	79986
sp|Q08285|RRP40_YEAST	73159	61080	74710	86443	70239	74964	57768	48553	52356
sp|Q08287|NOP8_YEAST	187300	172130	199130	213400	214820	203740	212980	175900	195420
sp|Q08299|ENB1_YEAST	11464	9540.1	10070	7264.7	6517.3	7828.9	5538.7	4188.3	5091.8
sp|Q08300|YO159_YEAST	15905	15319	16075	13096	11784	11730	18758	17137	17347
sp|Q08387|DNLI4_YEAST	5236.3	5232.6	5499	6531.9	6230.8	6892.9	9665	8044.5	9024.2
sp|Q08412|CUE5_YEAST	586100	535930	618140	546660	551120	557830	939470	779560	861940
sp|Q08416|IRC23_YEAST	658.39	501.21	557.81	608.96	374.16	405.62	629.84	520.16	585.54
sp|Q08417|RSB1_YEAST	11265	10074	10961	33789	28667	35290	16171	15717	15593
sp|Q08421|ETT1_YEAST	315510	286470	331540	583080	524570	573830	207760	172200	167770
sp|Q08422|TMC1_YEAST	9538.3	9292.2	10844	9335.4	8356.9	7879.7	12713	11577	12023
sp|Q08438|VHS3_YEAST	136610	124480	141900	130560	123980	121400	180430	146420	154960
sp|Q08444|NOB1_YEAST	243650	198680	229030	131670	127690	126610	200030	164790	202300
sp|Q08446|SGT1_YEAST	138440	138280	153740	240780	253550	247140	165570	145960	143810
sp|Q08448|YO059_YEAST	69306	64750	73985	174230	148290	176560	45473	41484	41953
sp|Q08457|SLD7_YEAST	25327	23268	25210	32960	28425	27693	19354	17982	18241
sp|Q08465|YNG1_YEAST	30561	31014	33857	48812	47801	45947	45259	39476	44001
sp|Q08471|MSA1_YEAST	20126	20532	23992	23797	22662	24485	35279	32386	31691
sp|Q08484|GYP1_YEAST	257150	226400	268540	195020	173970	184400	322270	278130	296970
sp|Q08485|NRT1_YEAST	100160	78130	89119	27945	24199	27055	68556	60381	69846
sp|Q08491|SKI7_YEAST	214420	201250	233900	218880	201620	203320	175020	149850	158640
sp|Q08492|BUD21_YEAST	32421	35056	39954	53459	52735	50928	39608	34889	31295
sp|Q08496|DIA2_YEAST	39486	35503	36240	20956	18648	19635	29176	26379	28450
sp|Q08548|ALE1_YEAST	760820	626510	747090	463540	433540	425540	646800	556080	640150
sp|Q08550|MPC54_YEAST	82515	78172	91320	32288	30494	26750	34504	27678	32061
sp|Q08553|SYC1_YEAST	39616	41700	48043	32004	32139	31443	28090	25912	26492
sp|Q08558|DCI1_YEAST	180830	146100	168300	95456	83410	87659	132960	109600	128090
sp|Q08560|YO186_YEAST	21867	18011	18208	1605.7	1413.2	696.19	5450.1	4868.6	6233.3
sp|Q08562|ULS1_YEAST	49568	41191	48645	18627	16159	17336	39226	32503	43014
sp|Q08580|PEX27_YEAST	120780	113340	120310	87795	76766	86524	161620	143900	163340
sp|Q08581|SLK19_YEAST	199570	197870	235000	229120	247900	234670	120300	105820	104920
sp|Q08601|MCA1_YEAST	151890	139620	159110	152770	174580	161130	213690	183020	200300
sp|Q08622|GEP3_YEAST	59887	55416	60571	78911	69795	79663	91172	74573	88434
sp|Q08634|YO238_YEAST	158760	150870	169790	97413	91289	92514	161000	132180	169250
sp|Q08641|AB140_YEAST	613100	556590	702120	538260	533710	521650	556690	455600	457830
sp|Q08645|FOLE_YEAST	344270	330750	393270	559830	589570	571340	272180	235580	234100
sp|Q08647|PUS7_YEAST	357040	392620	460760	555150	795320	587440	464800	388940	408270
sp|Q08649|ESA1_YEAST	57213	55539	63769	42240	56676	41830	51717	43515	46601
sp|Q08650|DGAT2_YEAST	208600	172670	202630	123710	105700	114180	237950	206040	242350
sp|Q08651|ENV9_YEAST	98065	85382	96214	101870	89266	95366	91142	81079	92157
sp|Q08683|APC5_YEAST	85240	74686	82501	86109	72921	79537	68094	60962	65650
sp|Q08685|CLP1_YEAST	203970	175820	208690	149800	140380	134070	191500	158510	184120
sp|Q08686|THTR_YEAST	131560	107260	129360	172670	184920	175510	178030	147110	167750
sp|Q08687|TMA16_YEAST	73512	74978	86242	71226	70640	72482	74473	67014	73278
sp|Q08689|NAT5_YEAST	14219	12569	15673	21744	28081	24114	18982	16240	18357
sp|Q08693|TRE2_YEAST	4668.1	3961	3821.7	2644.6	2358.4	2714.1	4631.1	3888.3	4352.7
sp|Q08723|RPN8_YEAST	402570	378420	478430	433870	419140	411350	425430	330790	358670
sp|Q08726|GPN2_YEAST	66522	59039	66191	57336	54994	54022	59995	49022	49545
sp|Q08732|HRK1_YEAST	315100	284510	327030	222300	217080	211430	263690	214130	248620
sp|Q08742|RDL2_YEAST	10708	13884	18185	89585	99538	93544	33558	29112	23618
sp|Q08745|RS10A_YEAST;sp|P46784|RS10B_YEAST	280230	252530	302110	483300	537130	499300	254950	225480	221320
sp|Q08746|RRS1_YEAST	248650	242760	243300	165060	135200	152460	198230	196500	204130
sp|Q08747|UAF30_YEAST	85566	75544	95820	56500	48842	50963	75652	59883	66935
sp|Q08748|YO296_YEAST	128540	120840	127920	103030	87012	98962	110800	103800	103650
sp|Q08749|TIM18_YEAST	154950	122950	139360	99129	95875	99785	165800	145060	162130
sp|Q08754|BUD7_YEAST	120950	104230	119630	119320	115190	113960	132050	106730	121700
sp|Q08760|RAX1_YEAST	157350	142350	162360	122370	112030	114790	172850	144130	160890
sp|Q08773|ISW2_YEAST	612440	565230	631790	613750	578940	582400	636450	563040	615230
sp|Q08774|RRG7_YEAST	2190.4	2246.6	2257.8	1743.9	1345.6	1564.8	2593.5	2415	2824
sp|Q08816|YO352_YEAST	236410	191330	215290	154920	130380	137630	236550	200040	223920
sp|Q08817|SOG2_YEAST	229790	216110	244200	210930	189490	192740	221790	181320	210410
sp|Q08818|MSC6_YEAST	233460	194600	218960	274120	290930	291390	249950	199180	220450
sp|Q08822|ETFD_YEAST	412740	394440	451800	484420	526150	478960	855340	727480	812430
sp|Q08826|SNX3_YEAST	337770	277950	324290	225210	217580	229720	206950	178680	201480
sp|Q08831|VTS1_YEAST	30463	27456	32503	33627	38298	35718	32543	25631	30287
sp|Q08873|SCP1_YEAST	105310	101800	108540	60424	51766	52320	74780	71884	75030
sp|Q08886|GPB1_YEAST;REV__sp|P21268|FAR1_YEAST	197930	174000	203060	197310	184980	187580	178700	157110	165530
sp|Q08904|RDR1_YEAST	3036.5	2309.6	2965.4	3004.5	2392.6	2461.5	3057.1	2724.6	2792.9
sp|Q08909|YO385_YEAST	48321	42172	47428	50937	41523	49214	37773	36121	37904
sp|Q08911|FDH1_YEAST	162800	174650	192020	60413	83093	73357	1269500	1048500	1108800
sp|Q08912|YO389_YEAST;sp|Q08989|YP277_YEAST	180220	172020	193020	86446	85526	77841	74499	64418	65193
sp|Q08919|TRE1_YEAST	51136	46901	50097	24985	22619	24874	43180	38846	41672
sp|Q08920|NCBP2_YEAST	213260	199230	237040	182210	180370	174350	199990	166410	186530
sp|Q08921|TCO89_YEAST	162070	173870	185840	170080	157940	165240	256790	226520	226710
sp|Q08923|CTI6_YEAST	180630	170210	197200	136680	133460	137160	240610	200490	230800
sp|Q08924|WDR6_YEAST	559760	492910	557540	538800	454680	486300	465450	415950	445670
sp|Q08925|MRN1_YEAST	258510	247530	274240	351870	344320	353830	220360	192440	194340
sp|Q08926|UIP4_YEAST	373830	319500	370250	137410	131370	144000	845500	682470	788530
sp|Q08930|YP191_YEAST	29241	23709	26925	27235	20496	22886	26434	23005	26274
sp|Q08932|RSA1_YEAST	112370	100070	118440	78109	81037	75293	115550	93131	109690
sp|Q08949|DDC1_YEAST	43563	52065	56281	92997	91012	91882	56367	52317	49581
sp|Q08951|AP3D_YEAST	491410	453310	509910	580410	537630	553630	482910	415180	448640
sp|Q08952|OXR1_YEAST	83469	79505	86581	86542	92568	91405	115570	100210	103810
sp|Q08954|YP199_YEAST	342160	319320	369580	270050	252400	252690	294720	244910	274900
sp|Q08957|AFT2_YEAST	7793.9	7805.5	8999.1	19948	20709	19653	10873	9733.1	11030
sp|Q08959|PGC1_YEAST	570500	453610	541310	403050	329060	367750	426000	373870	459370
sp|Q08960|TYW1_YEAST	423840	359370	404500	180920	157540	160570	419920	376220	419030
sp|Q08961|RKM1_YEAST	328320	267530	322490	297470	273170	278520	238090	203080	215010
sp|Q08962|NIP7_YEAST	133970	119690	145710	168910	160720	160120	197280	166170	169410
sp|Q08963|RU2A_YEAST	12612	11569	14441	47770	57274	52100	17421	14329	14078
sp|Q08965|BMS1_YEAST	402990	391180	436260	460710	433550	445100	416070	374860	384720
sp|Q08966|PCL8_YEAST	65553	60988	66256	74066	76415	71155	113820	99017	105510
sp|Q08967|FLC1_YEAST	78532	70934	78175	25449	24088	24059	50720	49018	51842
sp|Q08968|FMP40_YEAST	270300	225400	261830	243090	216620	234840	399890	330900	375570
sp|Q08969|GRE1_YEAST	33811	33105	35901	11586	22853	24723	690170	545880	639790
sp|Q08970|MMT2_YEAST	137740	113000	126150	107920	93172	104940	200900	180180	197720
sp|Q08971|YP225_YEAST	298430	285360	344700	454600	484180	472710	336880	256310	276960
sp|Q08972|NEW1_YEAST	1328300	1300700	1484900	2246800	2189000	2365000	1223800	1087700	1066400
sp|Q08975|THI21_YEAST	6671.3	5800.5	7711.1	59204	55005	53879	4698.4	4368.7	3042.4
sp|Q08977|YP260_YEAST	436180	418770	477710	775190	826020	812880	555920	491020	494550
sp|Q08979|KEL3_YEAST	298770	265870	311680	312130	288700	306630	249420	219980	225400
sp|Q08980|YP264_YEAST	36469	31715	32395	19646	15964	17986	27319	25484	28843
sp|Q08985|SAM4_YEAST;sp|Q04898|YM99_YEAST	139950	140900	177810	371030	394400	388360	149620	124030	115960
sp|Q08986|SAM3_YEAST	318120	252850	299970	200660	160440	186070	191380	171950	189300
sp|Q08991|FEX2_YEAST;sp|Q08913|FEX1_YEAST	48190	33179	35427	31324	24082	31082	28054	24039	28317
sp|Q10740|LKHA4_YEAST	407950	370980	432030	578600	549100	554520	444210	376580	411700
sp|Q12000|TMA46_YEAST	216420	198930	227270	196210	181920	187030	329070	275510	326100
sp|Q12001|ALG6_YEAST	217740	187150	215850	129840	114510	119180	266400	240830	288710
sp|Q12003|ENV7_YEAST	77851	72615	77326	68803	59381	65228	152080	134890	153620
sp|Q12004|TFB4_YEAST	209230	182380	216540	238990	221590	216070	236640	195870	226460
sp|Q12006|PFA4_YEAST	18282	17544	17026	12928	11220	12316	18636	18649	20129
sp|Q12008|PMG2_YEAST	418160	350780	431770	312250	310100	294770	312820	253440	267590
sp|Q12009|TRMB_YEAST	253040	210220	265060	322290	317420	331160	263470	214120	208420
sp|Q12010|YPQ1_YEAST	99079	85768	92249	58393	51056	54394	76823	70048	78907
sp|Q12012|YO289_YEAST	437200	391710	466760	462050	473690	426370	732330	626490	525570
sp|Q12013|AKR2_YEAST	38228	34945	39180	41010	38685	41048	72660	65562	72506
sp|Q12015|YO223_YEAST	127340	106640	129380	67510	62320	63127	112470	95647	112960
sp|Q12016|VPS68_YEAST	16192	15302	16357	13277	11974	11930	17141	14535	16092
sp|Q12017|PLP2_YEAST	231940	217670	252290	247950	234770	231420	170680	146960	154070
sp|Q12018|CDC53_YEAST	735440	630510	753590	882090	823130	870990	750210	629590	722030
sp|Q12019|MDN1_YEAST	2197400	1875900	2194000	2833800	2529900	2666400	2233600	1910600	2118400
sp|Q12020|SRL2_YEAST	9564.6	8888.2	9804	19859	16550	17947	14616	13290	12100
sp|Q12021|RAD28_YEAST	12073	12674	14333	13592	12702	12382	15806	15878	13838
sp|Q12024|YTM1_YEAST	79722	80464	99712	186670	205810	202390	83351	71011	67727
sp|Q12025|YD056_YEAST	424150	333210	389330	245580	216260	232790	445370	373990	454640
sp|Q12027|YD176_YEAST	9662.9	9371.3	10509	13468	12276	13400	15936	14151	14486
sp|Q12028|AP1G1_YEAST	349550	305420	340650	313680	273890	287110	328510	283030	317530
sp|Q12029|FSF1_YEAST	468350	393470	439890	446010	425320	434540	493820	428830	466830
sp|Q12030|TAF10_YEAST	65363	61992	69557	52818	46904	49554	52074	45426	47251
sp|Q12031|ACEB_YEAST	97939	87368	111980	307970	312210	316270	273970	221070	227610
sp|Q12032|AIM41_YEAST	213710	248330	282880	440130	454430	430170	716790	586950	604350
sp|Q12033|PALA_YEAST	246850	229250	268450	275960	277700	270400	313910	255390	272440
sp|Q12034|SLF1_YEAST	262410	229970	275050	214000	202520	195420	329430	282090	312660
sp|Q12035|FCF2_YEAST	148470	156090	178000	130450	186750	128730	108490	91699	94774
sp|Q12036|PPT2_YEAST	363.27	582.59	549.72	524.97	345.36	601.72	694.15	438.73	513.49
sp|Q12038|SRO7_YEAST	211240	201960	223730	250120	218460	246320	217980	215100	214760
sp|Q12039|HMI1_YEAST	49302	44111	47464	53991	54647	52912	42035	32855	45871
sp|Q12040|YO283_YEAST	378730	346400	423440	188540	176720	167510	214230	183770	206750
sp|Q12041|MET32_YEAST	27877	24493	27075	20412	17190	17129	13221	12121	12311
sp|Q12043|TGL5_YEAST	249850	223250	258100	219640	196200	208290	164900	146100	156680
sp|Q12044|RCN2_YEAST	207590	185120	238130	246700	249780	241990	247190	194470	190140
sp|Q12046|CWC2_YEAST	288360	260600	313520	204300	190310	186030	224230	186520	208320
sp|Q12049|THP3_YEAST	265360	223790	261710	238320	196910	210760	196530	161790	184330
sp|Q12050|ELG1_YEAST	71217	75749	83692	125610	132060	118760	77675	70803	67128
sp|Q12051|GGPPS_YEAST	111430	88226	108770	129980	122580	121390	108540	95929	92408
sp|Q12052|TGS1_YEAST	98147	86318	93972	86728	79306	83648	106130	92054	108210
sp|Q12055|KAD6_YEAST	71707	69679	80128	91784	79890	80647	78459	69323	74167
sp|Q12057|PIN2_YEAST	168240	140210	157100	64367	68403	62526	123500	107570	142020
sp|Q12059|ULA1_YEAST	134820	109780	125980	110060	92411	105300	142790	123040	135590
sp|Q12060|HFI1_YEAST	77162	72528	79951	65421	64525	62797	95325	81912	96938
sp|Q12063|UPPS_YEAST	430440	356940	434940	333780	309460	323800	442370	359750	435430
sp|Q12066|NUR1_YEAST	152610	133420	143750	101740	88743	96007	200600	184570	215090
sp|Q12067|ATX2_YEAST	545.04	254.05	519.68	565.03	347.17	509.01	544.29	760.11	593.89
sp|Q12068|GRE2_YEAST	296070	289030	347920	923880	974290	944570	755800	634840	624810
sp|Q12069|PUS9_YEAST	21594	19893	21373	10902	9392.8	9389.4	16188	14118	17137
sp|Q12071|VPS54_YEAST	266370	251220	284240	287480	272460	279970	265460	233350	247120
sp|Q12072|IOC2_YEAST	381030	363430	400980	553530	518780	556780	387700	351910	351090
sp|Q12074|SPEE_YEAST	363510	339980	395720	709670	765560	740190	268890	235600	222220
sp|Q12078|SMF3_YEAST	701200	501840	665850	342490	263840	288930	289610	252920	269160
sp|Q12080|NOP53_YEAST	326000	339420	403260	340780	386000	326960	387980	319340	364070
sp|Q12082|YD157_YEAST	91139	75002	88890	33004	29074	28679	101930	82839	103420
sp|Q12084|DAS2_YEAST	66869	65412	73000	117210	115340	110780	87557	73885	84347
sp|Q12089|AEP3_YEAST	107900	96918	107250	78452	68811	74431	127040	108990	132620
sp|Q12090|REXO3_YEAST	6966	7223	7424.6	9790.2	9771.3	10389	8121.9	7354.8	8341.2
sp|Q12091|DAP1_YEAST	108380	110580	124820	114720	122330	116790	209470	175550	201800
sp|Q12092|ATG29_YEAST	26953	23663	26628	16165	16953	16139	26983	22449	26939
sp|Q12093|MTU1_YEAST	15915	15799	15765	14486	13513	13602	20048	18643	19986
sp|Q12094|TSR3_YEAST	93995	82255	101990	112800	117000	108300	106230	84761	93053
sp|Q12096|GNT1_YEAST	382930	316370	350640	269190	231470	256430	225020	196580	212580
sp|Q12099|FAL1_YEAST	33078	33345	34219	48587	50934	47466	32094	28255	30511
sp|Q12100|RTK1_YEAST	195530	183390	211720	291130	272630	281220	286820	239830	254070
sp|Q12102|CFT2_YEAST	314140	285240	313760	423810	410010	411070	356930	304690	323360
sp|Q12104|SWT1_YEAST	96327	78004	97913	63743	56728	57662	86469	68904	110300
sp|Q12106|MCP1_YEAST	84128	68521	82963	39006	32541	34662	149200	125120	150240
sp|Q12107|APC9_YEAST	2536.9	2560.9	2965.6	1718.7	1857.8	1943.2	1312	1198.4	1170.3
sp|Q12108|RTC5_YEAST	187340	174030	201090	232420	203520	196040	290160	241640	265880
sp|Q12109|SYWC_YEAST	590380	530940	656050	1015400	1017000	1058100	412390	346200	323360
sp|Q12112|YN11B_YEAST;sp|Q12391|YN11A_YEAST	5961.8	4970.5	5640.1	7186.5	5494.3	7131.2	2020.5	1678.6	1720.6
sp|Q12114|CHS5_YEAST	658450	556600	678750	508420	563290	513560	554790	468000	506350
sp|Q12116|TMS1_YEAST	112580	86264	103150	63879	62078	61623	103790	91581	109700
sp|Q12117|MRH1_YEAST	686540	457970	560870	335200	248020	290640	366350	296750	348940
sp|Q12118|SGT2_YEAST	591380	596680	722950	813930	881800	823930	877740	720170	716830
sp|Q12122|HOSM_YEAST	452840	433490	533770	737790	793380	751290	438260	365430	366700
sp|Q12123|DCS2_YEAST	380850	379730	436940	514420	523190	469910	1152700	1102100	858970
sp|Q12124|MED2_YEAST	52820	50979	54723	50326	56298	56027	62142	54342	56028
sp|Q12125|GET4_YEAST	550120	451500	535990	444020	401480	412590	441490	390870	429220
sp|Q12129|NMD4_YEAST	2806.1	3319	3965.4	23375	26225	26206	6073.4	5356.6	4029.9
sp|Q12132|USV1_YEAST	41731	42150	46721	33783	25310	26783	53740	45331	48091
sp|Q12133|SPC3_YEAST	141740	132510	161800	127960	123800	125140	222600	179040	202060
sp|Q12134|HUA2_YEAST	48925	47328	48125	34732	29218	30959	52175	45594	53328
sp|Q12136|SAS10_YEAST	400940	363000	435100	478900	491500	491150	445260	373970	378370
sp|Q12139|YP022_YEAST	111770	92221	100520	113490	92077	105770	118500	105300	124420
sp|Q12142|ATG9_YEAST	397590	341480	382870	218690	189560	204100	506670	432450	510880
sp|Q12144|PER33_YEAST	175570	150170	160750	94562	83628	90420	141910	130170	145740
sp|Q12149|RRP6_YEAST	245020	225570	261140	333120	320370	325900	317390	261150	285310
sp|Q12150|CSF1_YEAST	307680	291120	307920	233530	209670	216460	280700	255640	286530
sp|Q12151|UPC2_YEAST	37136	35649	42512	17026	15890	16201	34693	29910	32456
sp|Q12152|YP150_YEAST	166380	152050	171880	139950	124200	132030	213960	183890	222630
sp|Q12153|SSF2_YEAST	77192	74406	81177	57734	58348	56608	50586	39751	47406
sp|Q12154|GET3_YEAST	471950	438170	530370	736330	717190	723350	408850	349730	345730
sp|Q12155|YL050_YEAST	40169	36350	38601	21619	19273	21316	51524	49351	55316
sp|Q12156|AIM7_YEAST	17420	16272	18249	25336	22540	22242	10724	10816	8539.6
sp|Q12158|SCC1_YEAST	25731	25274	27984	31093	27926	29001	13545	12150	11865
sp|Q12159|YRA1_YEAST	695300	590010	759320	456820	402900	412360	551620	441460	490130
sp|Q12160|YP063_YEAST	121350	104910	131460	131270	121830	126800	145900	127760	144610
sp|Q12161|PSH1_YEAST	18762	17928	20920	48774	50502	52508	34712	32780	28188
sp|Q12163|NBP2_YEAST	76627	74996	86658	57452	69640	61395	67469	52379	79098
sp|Q12164|POM33_YEAST	191580	153490	161230	135740	112940	127710	301990	264460	329040
sp|Q12165|ATPD_YEAST	1409.3	1511.5	2673	24462	32233	22793	10965	10540	9021.6
sp|Q12166|LEU9_YEAST	155020	150010	179640	212230	209810	204420	171480	140920	155530
sp|Q12167|RRG1_YEAST	21014	19362	22034	21055	18840	18294	24617	21296	24730
sp|Q12168|ENG2_YEAST	163260	144370	171320	272740	249560	256170	208880	181580	199180
sp|Q12171|MDM32_YEAST	51227	47224	52413	56141	52868	53388	57627	48716	55810
sp|Q12172|YRR1_YEAST	64000	56779	63436	56232	50294	53219	68082	57040	67460
