Accession	126C	127-N	127C	128-N	128C	129-N	129C	130-N	130C
sp|Q99208|YL066_YEAST;sp|Q07888|YL067_YEAST;sp|Q03099|YMN3_YEAST;sp|P0CX22|YRF18_YEAST;sp|P0CX21|YRF15_YEAST;sp|P0CX20|YRF11_YEAST;sp|P53819|YRF16_YEAST;sp|P0CX15|YRF17_YEAST;sp|P0CX14|YRF13_YEAST;sp|Q08995|YP204_YEAST;sp|Q3E7X8|YE077_YEAST;sp|O13559|YRF14_YEAST;sp|P40889|YJW5_YEAST;sp|P40434|YIR7_YEAST;sp|P38721|YHF0_YEAST;sp|P38900|YH19_YEAST;sp|Q7M4S9|YB113_YEAST;sp|P43538|YFG6_YEAST;sp|Q3E7Y5|YB111_YEAST;sp|P38899|YH18_YEAST;sp|Q3E7Y4|YB112_YEAST;sp|P40104|YE19_YEAST;sp|P39972|YEI5_YEAST;sp|P43540|YFG4_YEAST;sp|O13556|YL462_YEAST;sp|Q08993|YP202_YEAST;sp|P38722|YHE9_YEAST	106520	93489	103910	63888	59188	59983	105140	90949	104560
sp|P0CX24|RL20B_YEAST;sp|P0CX23|RL20A_YEAST	713970	582070	665250	1100500	1023600	1160600	653020	577890	584420
sp|P0CX26|RL43B_YEAST;sp|P0CX25|RL43A_YEAST	234860	200790	263400	286580	252610	222530	246410	221970	221710
sp|P0CX28|RL44B_YEAST;sp|P0CX27|RL44A_YEAST	359040	311860	359690	471340	359360	403250	419430	329360	326950
sp|P0CX30|RS23B_YEAST;sp|P0CX29|RS23A_YEAST	662270	566420	661160	506960	448380	465470	610150	523290	622130
sp|P0CX32|RS24B_YEAST;sp|P0CX31|RS24A_YEAST	492180	510930	580370	719330	677450	653470	479700	405490	409080
sp|P0CX34|RS30B_YEAST;sp|P0CX33|RS30A_YEAST	78346	75473	90775	309750	409050	353170	113350	93074	102810
sp|P0CX36|RS4B_YEAST;sp|P0CX35|RS4A_YEAST	3135000	2949900	3606000	3355200	2851600	2861600	3026100	2491700	2576200
sp|P0CX38|RS6B_YEAST;sp|P0CX37|RS6A_YEAST	945390	933720	1084300	1095700	1063000	1031300	817550	657470	674660
sp|P0CX40|RS8B_YEAST;sp|P0CX39|RS8A_YEAST	1302300	1156300	1333700	1222300	986350	1001800	1002800	821420	884930
sp|P0CX42|RL23B_YEAST;sp|P0CX41|RL23A_YEAST	122340	126650	148260	320680	325100	295100	149960	132870	125610
sp|P0CX44|RL1B_YEAST;sp|P0CX43|RL1A_YEAST	821220	760290	869920	1381700	1136200	1231200	1095300	834510	936550
sp|P0CX46|RL2B_YEAST;sp|P0CX45|RL2A_YEAST	940680	852870	994020	1195000	1173800	1161200	998160	828200	947680
sp|P0CX48|RS11B_YEAST;sp|P0CX47|RS11A_YEAST	1333900	1168700	1359500	1624600	1362200	1449100	1483500	1218100	1408400
sp|P0CX50|RL18B_YEAST;sp|P0CX49|RL18A_YEAST	841150	669810	817660	982580	884890	948900	895720	742640	847050
sp|P0CX52|RS16B_YEAST;sp|P0CX51|RS16A_YEAST	519500	467520	580610	681330	796900	754010	490470	404560	440500
sp|P0CX54|RL12B_YEAST;sp|P0CX53|RL12A_YEAST	222880	244140	301900	540030	616280	543470	262900	212750	198190
sp|P0CX56|RS18B_YEAST;sp|P0CX55|RS18A_YEAST	393320	331540	393840	704350	716890	710070	402640	343540	345700
